ratings,reviews
5,This product so far has not disappointed. My children love to use it and I like the ability to monitor control what content they see with ease.
5,great for beginner or experienced person. Bought as a gift and she loves it
5,"Inexpensive tablet for him to use and learn on, step up from the NABI. He was thrilled with it, learn how to Skype on it already..."
4,I've had my Fire HD 8 two weeks now and I love it. This tablet is a great value.We are Prime Members and that is where this tablet SHINES. I love being able to easily access all of the Prime content as well as movies you can download and watch laterThis has a 1280/800 screen which has some really nice look to it its nice and crisp and very bright infact it is brighter then the ipad pro costing $900 base model. The build on this fire is INSANELY AWESOME running at only 7.7mm thick and the smooth glossy feel on the back it is really amazing to hold its like the futuristic tab in ur hands.
5,"I bought this for my grand daughter when she comes over to visit. I set it up with her as the user, entered her age and name and now Amazon makes sure that she only accesses sites and content that are appropriate to her age. Simple to do and she loves the capabilities. I also bought and installed a 64gig SD card which gives this little tablet plenty of storage. For the price I think this tablet is best one out there. You can spend hundreds of dollars more for additional speed and capacity but when it comes to the basics this tablets does everything that most people will ever need at a fraction of the cost."
5,This amazon fire 8 inch tablet is the perfect size. I purchased it for my husband so that he has a bigger screen than just his phone. He had gotten me one a few years ago so I knew it would be a good purchase.
4,"Great for e-reading on the go, nice and light weight, and for the price point given, definitely worth the purchase."
5,"I gave this as a Christmas gift to my inlaws, husband and uncle. They loved it and how easy they are to use with fantastic features!"
5,"Great as a device to read books. I like that it links with my borrowed library e-books. Switched from another popular tablet brand and I am happy with the choice I made. It took some time to get books from my previous non-Kindle reader, but finally figured out a way!"
5,I love ordering books and reading them with the reader.
4,Not easy for elderly users cease of ads that pop up.
5,"Excellent product. Easy to use, large screen makes watching movies and reading easier."
4,Wanted my father to have his first tablet and this is a very good value. He can watch movies and play a few games. Easy enough for him to use.
5,Simply does everything I need. Thank youAnd silk works wonders
5,Got it as a present and love the size of the screen
5,"The kindle is easiest to use, graphics and screen crisp, clear, brilliant colors."
4,nice reader. almost perfect for what i want/need. good bargain
4,I really like this tablet. I would have given 5 stars but sometimes you have to push start several times after you unlock the screen and it is a little annoying.
5,Great video quality lots of fun apps fun for the whole family
5,Love love love my kindle fire 8.....this is what my 9 yr old granddaughter said when I bought this for her at Christmas..we have purchased kindled in the past but this one has been the best....love the fact that you can now use a memory card in it...that helps so much when you use it for books...games...music and viedos...thanks
5,"Excellent tablet with nice screen. I wish Amazon would pre install the play store, this would have been perfect."
5,"Preloaded with the reading app from Kindle but expandable with other apps. Perfect for travel. Carry your library, games and productivity apps in a small footprint."
5,"Very happy with this product and easy to use..picture is clear, takes great pictures.."
5,"My grandchildren are home schooled and utilize the tables for many learning apps! They LOVE using them as it makes them feel ""so grown up""! The tablets are a great leaning tool and they are receiving many benefits from them!"
5,"Great size, easy to carry for traveling. Need to spend more time Looking into apps for contact manegement, interactive calenders and most important, music storage and use."
4,I purchased this when my last tablet died. It meets all basic needs and the price was great.
4,"Perfect for downloading and reading books !! Perfect size and has a nice, bright screen."
5,I was surprised when I learned of the capabilities of this device. Now my husband has more access to his desktop and I am doing things which I couldn't on his device.
5,I got it for my son. Its user friendly and durable.
5,"The visual quality on the Fire 8 HD is amazing. It runs very fast and is easy to use, very durable."
5,If your looking for a affordable gift this is it!.
5,"This is a great tablet for the price, would recommend it to anyone looking for a basic tablet."
4,Works great. Love the portability of books. Overall great product
5,I am still learning all the things I can do with my new Kindle Fire. It is so much better (lighter in weight and easier to use) than my old tablet.
5,Just the right size for reading books and playing some games.
5,I love everything about this tablet! The imaging is sharp and clear. It's fast and light weight. Love it!
4,Overall a nice product for traveling purposes Value for money
5,"My children love this table great quality of pictures, excellent camera"
5,I bought 3 tablets and my family was not disappointed.
5,Great tablet fast screen good size never gives me problem
4,"Bought this for my 87 year old grandmother who wanted to be able to play games and read books from the library. My aunt lives with her and can help her use it so its perfect for that type of user. After playing with It, I would consider it for just about anyone other than a hardcore user that wants the latest and greatest tech. if you are tech saavy, you can do more with these Fire tablets than advertised."
5,This is exactly what the person wanted as a gift and she enjoys using it.
4,Does all basic functions of a tablet. Hardcore users may want an iPad.
4,Works great for a simple tablet. Not a huge fan of the silk browser but it could be worse! I am very happy with my purchase!
5,It's fast and easy to use. This is my second kindle fire .
4,More flexibility than a Kindle and bigger screen. Like it because I can surf the web and download and read books.
5,"For the money you cannot beat this tablet. Full of features, picture quality is great, and very fast speed while using the internet."
5,"Easy to use, solid build, sharp HP screen for movies. Who needs more?"
5,Tablet is perfect for beginners who just want basic
5,"this is my first tablet .. love it .. actually read my first e-book on it .. large screen, easy to read & play games .. fits nicely in my purse"
4,This 8 inch Fire is definitely better than the cheaper 7 inch. It works fine enough for teens to play games and watch movies.
4,"Great tablet for under $100. Does not have the highest specs, but gets the job done for lite tablet users."
4,"I purchased the kindle fire because I needed a entertainment only device for long flights. This device is the perfect size for travel and easy to use and set up with your Amazon account. It is worth purchasing a Fire tablet if you are an Amazon Prime member. If not, I would not recommend it because the available apps are limited . My only complaint about this device is that if it freezes it is difficult to reset."
4,This fire tablet has long battery life. Reasonable fast
4,Got this for my wife and she loves it. She had the previous generation and this one is a giant keep forward.
5,Sleek packaging easy set up and great for anyone who wants a e reader with more to offer.
5,Best and most affordable option of all the Kindle devices available.
5,"I did not want to get a new kindle but my old one would not charge or show a charge anymore. I could not depend on it for any length of time so I finally broke down and bought a new one. I am very happy with this one. I was afraid I would lose my music and photos since not all came from the Amazon store. However, everything I had on the old kindle transferred to the new one. I am still learning all about it but so far so good."
5,My daughter likes this tablet to play her online games!
4,Easy to figure out and used it extensively on my vacation.
5,"Excellent tablet to leave at my easel and display reference photos. It's light enough to velcro to a articulating stand (so I can position the tablet right next to my canvas). It's cheap enough to not worry about. I love it, for the price."
5,I bought this wanting for books comics and movies and it has not disappoint ever since
5,My 4 year old Grandson loves his Kindle. He had to have one after his sister got one.
5,Easy to use. As a beginner I found this pad very good. Enjoy the kindle app.
4,This Kindle does what I need it to do. The camera could be better but overall I am pretty happy with my purchase.
5,Purchased this for my daughter to do more reading. It has so much more options for her if she wants.
5,"this is a great tablet for the price. my kid loves it ,does alot reading on it."
4,I was really hoping that this would be faster than some other inexspensive tablets I've had. I mainly use it for email though and it does the job.
4,Bought as a Christmas gift for someone. I bought iPad as well. Will update when it's used.
5,Great tablet for the price. It is easy to navigate.
5,I believe that this will be very useful during my husbands recovery from foot surgery.
4,This is something that is useful if your looking for something to take along trips
5,This is a wonderful device. I love the extra capabilities and apps.
4,Decent tablet. Access to kindle and pretty much all your google apps.
5,I am very happy with this tablet. The worst thing is that my steals it all the time. Lol
5,"A family member has vision problems. They had seen/used the Kindle of another family member - especially the ability to scale text. This device will make it possible to read, which she has had extreme difficulty doing."
5,Easy setup and connect to WIFI. Great viewing area. Easy to read in bright places.
5,I got this fire for my friend who wants to buy kindle..this serves both Kindle and Tab... very nice and very cheap..worth for what i paid.. I highly recommend this for beginners
5,Really enjoyed the price value of this tablet versus ipad
5,Amazing tablet with fast processor. It looks great... got good deal
5,We got this for our 5 year old and this is really great for the price. Works like a charm!!
5,"I find it easy to use, but the kindle does not come with instructions, so you have to find your way around."
4,"I bought this because I was tired of watching Youtube and Twitch on my phone. Excellent display sound is decent-not great but you can always buy a speaker. The negatives are-it is definitely a fingerprint magnet, and the Spectrum TV app is AWFUL-the app works fine on my phone, but for some reason on this tablet it freezes and is unusable. All things considered, for 65 bucks it's hard to be beat."
5,"I love this tablet. The battery life last a long time. I use my Amazon Kindle Fire predominately for watching movies on Amazon Prime, Netflix's, and checking my emails. I also carry it to my appointments and meetings. It is a compact tablet, and not big and bulky. The playback of the movies are great, and the movies are HD. Great little tablet if you are looking for something to watch movies and checking emails. I would definitely recommend this tablet to friends and family members."
5,"My daughter loves this kindle, she does so much with it,well worth the money."
5,Was looking for a tablet that was highly portable & could run my DIRECTTV app & stream videos. (Other electronics I have are much older versions). Salesman recommended this model to me based on personal experience. I am still learning all its functions but so far it seems easy to use & is doing what it promised to do.
5,"This is my second Fire, the other one is now retired. I like having HD. Works just fine."
5,My wife bought this for me for my birthday. I enjoy reading biographys which usually have color photos. The regular Kindle make the pics black and white or they're aren't any. This allows me to see the color photos. I also love the night feature when I'm in bed reading. I no longer need a light on to read or need to hold a large book.
5,"Thanks to a knowledgeable, low-pressure salesperson, I was ready to buy my first tablet. This one was the right price (on sale) and I have not been disappointed. Every few days I learn more ways to use it besides checking e-mails & checking out library books & audio books. It stays charged for days, even with regular use. I recommend it as an inexpensive and very satisfactory alternative to more expensive tablets."
5,"It's a great tablet for the price. Don't expect it to be as fast more expensive ones. It's meant for casual use and it does a great job at that. For the price, you can't beat it. Get a nice large microsd card and you don't have to worry about space. It runs a little slow on certain things if you are multitasking but it's a simple tablet. I've run plenty of 720p videos without fail. It's great for ebooks or other files. Some more elaborate pdfs take a while to load if they have a lol of graphics. Battery life seems good for a small table too.The only real Issue I have is the Amazon App store being limited. It is an offshoot of Android but not all the same apps are available. There is a way around it but I wish they would just allow it access to Google Play or at least offer the same apps.So, it's a nice inexpensive table that works great. For the money, you will love it but don't get upset that is doesn't run as fast as a $500 tablet. That's not its job."
4,Bought it for my 10 yr old granddaughter. Does everything she wants it to do in a tablet.
5,Very easy to use tablet. Lots of apps and game available.
5,"We love the FreeTime settings for kids on the newer Kindle Fires. I was able to create a login for each of our kids as well as myself and set limits to the amount of device time they are allowed daily (can set to more for weekends if desired). You can set the age restrictions for content also, to avoid inappropriate ads, etc. Once you've downloaded apps, you can choose which ones you want each child to have access to in their profile settings, so if one child is older you can allow them access to something their younger siblings shouldn't have. Basically, I like that I can set their access rights and know they're safe so I don't have to continually monitor every moment. By the way, FreeTime kids settings are available without having to subscribe to their FreeTime app access plan. :)"
5,"Great tablet, very clear picture. Would buy again."
4,Good reader which is why I bought it. Ads are annoying.
4,"It's a mini computer packed in a handheld devise. Applications load quickly and I am able to get my work completed, while riding the commuter rail."
4,Nice for a smaller tablet. It's good for Internet surfing.
5,"Purchased as a door prize gift given with a one year Amazon membership. The recipient loves it and says it performs very well. (As a past Amazon Fire user, now i-Pad graduate, I loved my Amazon Fire for more than 4 years without any problems. In fact, I just recycled it on to my son and it runs like a champ)."
5,"I have 4 other kinds of tables. This the best I have had. I can listen to music, read a book, listen to a book, or watch movies/tv shows."
5,Great product for the kids gaming apps parental controls to make sure you can monitor kids and prevent unwanted app purchases
5,I purchased 2 of these tablets for my 6 and 8 year old. They were a Black Friday special for $59. They are perfect for the apps and games they wanted.
5,Great product. Love the Amazon ecosystem. The Freetime subscription is a must
5,"Needed something a bit larger than the 6+ to stream Netflix, this was perfect!"
5,"my husband bought this for me as a Christmas present. I couldn't understand why he bought it because I already have a Kindle Fire.Once I opened it and got it going, I loved all it could do plus the graphic is so much colorful than my older Kindle."
5,my grandson-8-loves this --the games and the books!
4,Great product and I'm very satisfied with it. I recommend it to other people.
4,I purchased this tablet for my niece for Christmas and she love it.
5,"Easy to use, responds quickly, great screen brightness."
4,Great tablet but apps limited comparison of other tablets.
5,Works as we thought it should. NO PROBLEMS. Good buying experience.
4,"We have the smaller one, and been great. This one is even better, because of the size."
5,"I am a prime member & I love this tablet. Very user friendly especially if you are a prime member with amazon. Not real tech savvy so I need all the help I can get to keep things simple & automatic. Great clarity of picture/data. Have a 10"" tablet and wasn't sure about downgrading size (old eyes) but was delighted to see it works fine at 8"" instead of 10"". Also, easier to take around in the smaller size. Highly recommend especially if you subscribe to Amazon and are a prime member. Great benefits!!"
5,Got this for my wife. She loves the bigger screen and the better app management features that this one has over her earlier generation kindle. Definitely worth it!
5,"Connects to home WiFi automatically. Many books, and many games. Actually functions like a computer tablet. E-mail is a breeze."
5,"Bought this to replace no-name budget tablet for my daughter. She loves this as it is much faster and has a better display than her old tablet. This is a wonderful value as it is faster, has a better display and sound, is a name brand and cost about the same ... what's not to love about this product?"
5,"She loves this tablet. It works well unlike her ""bargain"" tablet which she tried to use previously and cost about the same. She likes the sound of it also! She enjoys the free games she downloaded and navigates the wev easily with it."
4,"It's no iPad, but it's great for Netflix and some app games. I'm not worried about the kids getting their paws on it since it's relatively inexpensive."
2,Didn't have some of the features I was looking for. Returned it the next day. May be good for others
5,I bought this for my daughter and she loves it. It's speedy when loading books!
4,Purchased for my wife who reads a lot and truly enjoys the amazon fire.
4,"A great Christmas gift, the kids love the gifts..."
5,"Daughter got this as a present. It was easy to set up and display is great. Features allow us to limit her time on games, web, etc. while allowing her unlimited time to read"
5,I have enjoyed just learning how to use it. You're never too old to learn new things.
5,bought for husband and he was surprised it does the work he needs it for
